route_id,service_id,trip_id,direction_id,block_id
800,FR,33523,1,800F-  4
800,FR,33524,1,800F-  5
800,FR,33525,1,800F-  1
800,FR,33526,1,800F-  3
800,FR,33527,1,800F-  2
800,FR,33528,1,800F-  4
800,FR,33529,1,800F-  5
800,FR,33530,1,800F-  7
800,FR,33531,1,800F-  1
800,FR,33532,1,800F-  3
800,FR,33533,1,800F-  2
800,FR,33534,1,800F-  4
800,FR,33535,1,800F-  5
800,FR,33536,1,800F-  7
800,FR,33537,1,800F-  1
800,FR,33538,1,800F-  3
800,FR,33539,1,800F-  2
800,FR,33540,1,800F-  4
800,FR,33541,1,800F-  5
800,FR,33542,1,800F-  7
800,FR,33543,1,800F-  1
800,FR,33544,1,800F-  3
800,FR,33545,1,800F-  2
800,FR,33546,1,800F-  4
800,FR,33547,1,800F-  5
800,FR,33548,1,800F-  7
800,FR,33549,1,800F-  1
800,FR,33550,1,800F-  3
800,FR,33551,1,800F-  2
800,FR,33552,1,800F-  5
800,FR,33553,1,800F-  7
800,FR,33554,1,800F-  3
800,FR,33555,1,800F-  2
800,FR,33556,1,800F-  5
800,FR,33557,1,800F-  7
800,FR,33558,1,800F-  3
800,FR,33559,1,800F-  2
800,FR,33560,1,800F-  5
800,FR,33561,1,800F-  3
800,FR,33562,1,800F-  5
800,FR,33563,1,800F-  3
800,FR,33564,1,800F-  5
800,FR,33565,1,800F-  3
800,FR,33566,1,800F-  5
800,FR,33574,1,800F-  1
800,FR,33575,0,800F-  2
800,FR,33576,1,800F-  3
800,FR,33577,0,800F-  4
800,FR,33578,0,800F-  5
800,FR,33579,0,800F-  6
800,FR,33581,0,800F-  7
800,SA,33598,1,800S-  5
800,SA,33800,0,800S-  1
800,SA,33801,0,800S-  2
800,SA,33802,0,800S-  1
800,SA,33803,0,800S-  2
800,SA,33804,0,800S-  1
800,SA,33805,0,800S-  2
800,SA,33806,0,800S-  1
800,SA,33807,0,800S-  5
800,SA,33808,0,800S-  3
800,SA,33809,0,800S-  2
800,SA,33810,0,800S-  4
800,SA,33811,0,800S-  1
800,SA,33812,0,800S-  5
800,SA,33813,0,800S-  3
800,SA,33814,0,800S-  2
800,SA,33815,0,800S-  4
800,SA,33816,0,800S-  1
800,SA,33817,0,800S-  5
800,SA,33818,0,800S-  3
800,SA,33819,0,800S-  2
800,SA,33820,0,800S-  4
800,SA,33821,0,800S-  1
800,SA,33822,0,800S-  5
800,SA,33823,0,800S-  3
800,SA,33824,0,800S-  2
800,SA,33825,0,800S-  4
800,SA,33826,0,800S-  1
800,SA,33827,0,800S-  5
800,SA,33828,0,800S-  3
800,SA,33829,0,800S-  2
800,SA,33830,0,800S-  4
800,SA,33831,0,800S-  1
800,SA,33832,0,800S-  5
800,SA,33833,0,800S-  3
800,SA,33834,0,800S-  2
800,SA,33835,0,800S-  4
800,SA,33836,0,800S-  1
800,SA,33837,0,800S-  5
800,SA,33838,0,800S-  3
800,SA,33839,0,800S-  2
800,SA,33840,0,800S-  4
800,SA,33841,0,800S-  1
800,SA,33842,0,800S-  5
800,SA,33843,0,800S-  3
800,SA,33844,0,800S-  2
800,SA,33845,0,800S-  4
800,SA,33846,0,800S-  1
800,SA,33847,0,800S-  5
800,SA,33848,0,800S-  3
800,SA,33849,0,800S-  2
800,SA,33850,0,800S-  4
800,SA,33851,0,800S-  1
800,SA,33852,0,800S-  5
800,SA,33853,0,800S-  3
800,SA,33854,0,800S-  2
800,SA,33855,0,800S-  4
800,SA,33856,0,800S-  1
800,SA,33857,0,800S-  5
800,SA,33858,0,800S-  2
800,SA,33859,0,800S-  1
800,SA,33860,0,800S-  2
800,SA,33861,0,800S-  1
800,SA,33862,0,800S-  2
800,SA,33863,0,800S-  1
800,SA,33864,1,800S-  2
